Date & Time,SKU,Name,Brand,Average Rating,Rating Count,Sponsered,Price,Sales Price,Express,Rank,Link
2024-12-21 17:32:38,Z803968E97E86E5DA8974Z,"Generic Non Slip Socks for Women, All Season Fashion, Simple Casual Sports Socks,  Yoga, Ballet, Dance, Fitness, Football, Hospital, Medium Size Socks, Free Size 2pcs ",Generic,5.0,1,N, ,31.80,Y,119,https://www.noon.com/uae-en/non-slip-socks-for-women-all-season-fashion-simple-casual-sports-socks-yoga-ballet-dance-fitness-football-hospital-medium-size-socks-free-size-2pcs/Z803968E97E86E5DA8974Z/p/?o=z803968e97e86e5da8974z-1
2024-12-21 17:32:38,ZF098AC350172402D4A04Z,"GROIC 2 PCs Cooling Towels Outdoors Sports Breathable Towel Workout,  Quick-Drying Sports Towel for Gym, Fitness, Golf, Yoga, Camping, Hiking, Travel, Outdoor Activities,30*100 CM ",GROIC,3.7,3,N, ,55.65,Y,127,https://www.noon.com/uae-en/2-pcs-cooling-towels-outdoors-sports-breathable-towel-workout-quick-drying-sports-towel-for-gym-fitness-golf-yoga-camping-hiking-travel-outdoor-activities-30-100-cm/ZF098AC350172402D4A04Z/p/?o=zf098ac350172402d4a04z-1
2024-12-21 17:32:38,ZF3442D6DEB1F18D07AD9Z,"Generic Stretch Band Strap, Elastic Exercise Stretching Band with 9 Loops for Yoga Physical Therapy Dance Workout Fitness, Stretch Assist - Light Resistance Band for Strength Flexibility Training ",Generic,NA,NA,N,NA,29,Y,117,https://www.noon.com/uae-en/stretch-band-strap-elastic-exercise-stretching-band-with-9-loops-for-yoga-physical-therapy-dance-workout-fitness-stretch-assist-light-resistance-band-for-strength-flexibility-training/ZF3442D6DEB1F18D07AD9Z/p/?o=zf3442d6deb1f18d07ad9z-1
2024-12-21 17:32:38,Z5BB144BA6576302F7275Z,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Green + Black) ,MahMir,4.8,8,N, ,49.95,Y,116,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-green-black/Z5BB144BA6576302F7275Z/p/?o=z5bb144ba6576302f7275z-1
2024-12-21 17:32:38,N27330175A,Fitness World Anti-Slip Yoga Mat With Carry Strap ,Fitness World,4.1,216,N,NA,37.85,Y,118,https://www.noon.com/uae-en/anti-slip-yoga-mat-with-carry-strap/N27330175A/p/?o=f2f2a89d50d79c1a
2024-12-21 17:32:38,Z32D13B61AE4FACD618EAZ,Reebok Yoga Mat - 4Mm - Black ,Reebok,NA,NA,N, ,64,Y,115,https://www.noon.com/uae-en/yoga-mat-4mm-black/Z32D13B61AE4FACD618EAZ/p/?o=z32d13b61ae4facd618eaz-1
2024-12-21 17:32:38,ZE3AE3C2A87B662CA54F9Z,Gaiam 6Mm Premium Tribal Wisdom Yoga Mat ,Gaiam,NA,NA,N, ,50,Y,114,https://www.noon.com/uae-en/6mm-premium-tribal-wisdom-yoga-mat/ZE3AE3C2A87B662CA54F9Z/p/?o=ze3ae3c2a87b662ca54f9z-1
2024-12-21 17:32:38,N20034892A,Generic Anti-Tear Exercise Mat With Carrying Strap 60x10cm 60x10cm ,Generic,4.2,1.4K,N,NA,36.15,Y,112,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap-60x10cm-60x10cm/N20034892A/p/?o=fc5fc96b5ab2231d
2024-12-21 17:32:38,ZD6C0242EBD64EE1D929FZ,WENBO Set of 2 Yoga Blocks EVA Foam High Density Non Slip Yoga Bricks For Meditation Balance Exercise ,WENBO,NA,NA,N,NA,26,N,111,https://www.noon.com/uae-en/set-of-2-yoga-blocks-eva-foam-high-density-non-slip-yoga-bricks-for-meditation-balance-exercise/ZD6C0242EBD64EE1D929FZ/p/?o=zd6c0242ebd64ee1d929fz-1
2024-12-21 17:32:38,Z60F077CA3FE2E737E759Z,RIOXS 5 Pairs Yoga Socks For Women Non-Slip Grips & Straps Non Slip Socks For Yoga Pilates Ideal For Pilates Ballet Dance Barefoot Workout ,RIOXS,4.4,3,N, ,41.45,Y,110,https://www.noon.com/uae-en/5-pairs-yoga-socks-for-women-non-slip-grips-straps-non-slip-socks-for-yoga-pilates-ideal-for-pilates-ballet-dance-barefoot-workout/Z60F077CA3FE2E737E759Z/p/?o=z60f077ca3fe2e737e759z-1
2024-12-21 17:32:38,ZF7A2908DEBCB5813160FZ,RIOXS 8 Pairs Non Slip Skid Yoga Pilates Socks for Women and Men Breathable Sports Socks for Yoga Barre Pilates Home Workout ,RIOXS,4.0,1,N, ,46.05,Y,113,https://www.noon.com/uae-en/8-pairs-non-slip-skid-yoga-pilates-socks-for-women-and-men-breathable-sports-socks-for-yoga-barre-pilates-home-workout/ZF7A2908DEBCB5813160FZ/p/?o=zf7a2908debcb5813160fz-1
2024-12-21 17:32:38,ZFB0F8817C8CE6FD17614Z,"GROIC Foldable Yoga Mat with Illustrated Yoga Poses, Non Slip Exercise Mat for Home Gym, Travel Yoga Set With Stretch Strap for Yoga Pilates and Fitness ",GROIC,3.8,5,N, ,88.65,Y,109,https://www.noon.com/uae-en/foldable-yoga-mat-with-illustrated-yoga-poses-non-slip-exercise-mat-for-home-gym-travel-yoga-set-with-stretch-strap-for-yoga-pilates-and-fitness/ZFB0F8817C8CE6FD17614Z/p/?o=zfb0f8817c8ce6fd17614z-1
2024-12-21 17:32:38,ZF4B0CB30B8A68912AB54Z,Gaiam TPE YOGA MAT PRINTED BLUSH 6MM ,Gaiam,NA,NA,N, ,168,Y,107,https://www.noon.com/uae-en/tpe-yoga-mat-printed-blush-6mm/ZF4B0CB30B8A68912AB54Z/p/?o=zf4b0cb30b8a68912ab54z-1
